codigo,nombre,cantidad,stock_minimo
412219,AMIKACINA,0,0
423446,AMOXICILINA / AC. CLAVULANICO EU,0,0
412243,AMOXICILINA,0,0
412251,AMPICILINA/SULBACTAM,0,0
412253,AMPICILINA,0,0
412257,AZITROMICINA,0,0
412259,AZTREONAM,0,0
412265,BENCILPENICILINA 32,0,0
412263,BENCILPENICILINA 256,0,0
412273,CEFEPIMA,0,0
412275,CEFIXIMA,0,0
412281,CEFOTAXIMA,0,0
412285,CEFOXITINA,0,0
412289,CEFPODOXIMA,0,0
424000,CEFTAROLINA,0,0
412293,CEFTAZIDIMA,0,0
419556,CEFTAZIDIMA / AVIBACTAM,0,0
414447,CEFTOLOZANO / TAZOBACTAM,0,0
412301,CEFTRIAXONA 256,0,0
412303,CEFTRIAXONA 32,0,0
412305,CEFUROXIMA,0,0
412307,CEFALOTINA,0,0
412309,CLORAMFENICOL,0,0
412311,CIPROFLOXACINO,0,0
412313,CLARITROMICINA,0,0
412315,CLINDAMICINA,0,0
412324,DAPTOMICINA,0,0
421771,DELAFLOXACINO,0,0
412326,DORIPENEM,0,0
412328,DOXICICLINA,0,0
421552,ERAVACICLINA,0,0
412332,ERTAPENEM,0,0
66448,ERITROMICINA,0,0
423442,FOSFOMICINA,0,0
424004,GENTAMICINA 1024,0,0
412368,GENTAMICINA 256,0,0
412374,IMIPENEM,0,0
420925,IMIPENEM RELEBACTAM,0,0
412382,KANAMICINA,0,0
412393,LEVOFLOXACINO,0,0
412396,LINEZOLID,0,0
424030,MECILLINAM,0,0
412402,MEROPENEM,0,0
421563,MEROPENEM/VABORBACTAM,0,0
412404,METRONIDAZOL,0,0
412409,MINOCICLINA,0,0
412411,MOXIFLOXACINO,0,0
424011,MUPIROCIN,0,0
424022,ACIDO NALIDIXICO,0,0
412422,NETILMICINA,0,0
424018,NITROFURANTOINA,0,0
424024,NORFLOXACINO,0,0
412430,OFLOXACINO,0,0
412432,OXACILINA,0,0
412436,PIPERACILINA,0,0
421166,PIPERACILINA/TAZOBACTAM,0,0
412444,QUINUPRISTINA/DALFOPRISTINA,0,0
412450,RIFAMPICINA,0,0
412452,ESPECTINOMICINA,0,0
424015,ESTREPTOMICINA,0,0
412461,TEICOPLANINA,0,0
424010,TEMOCILINA,0,0
412471,TETRACICLINA,0,0
412473,TICARCILINA/ACIDO CLAVULANICO,0,0
424314,TIGECICLINA,0,0
412479,TOBRAMICINA 256,0,0
424013,TOBRAMICINA 1024,0,0
412481,TRIMETOPRIM/SULFAMETOXAZOL,0,0
412483,TRIMETOPRIM,0,0
412488,VANCOMICINA,0,0
